,Year,Country,Area,Day Time,Fatal,Type
144,2017,MEXICO,Baja California Sur,Afternoon,Y,Unprovoked
145,2017,USA,California,Afternoon,Unknown,
146,2017,USA,California,Afternoon,N,Unprovoked
147,2017,SOUTH AFRICA,Western Cape Province,Afternoon,N,Unprovoked
148,2017,USA,South Carolina,Morning,N,Unprovoked
149,2017,REUNION,Saint-Leu,Morning,Y,Unprovoked
150,2017,NEW ZEALAND,South Island,Afternoon,N,Unprovoked
151,2017,USA,Florida,,Unknown,
152,2017,"ST HELENA, British overseas territory",Ascension Island,Afternoon,N,Unprovoked
153,2017,USA,South Carolina,Morning,Unknown,
154,2017,USA,Florida,Afternoon,N,Unprovoked
155,2017,AUSTRALIA,Western Australia,Afternoon,Y,Unprovoked
156,2017,USA,Hawaii,Morning,N,Unprovoked
157,2017,USA,Florida,Afternoon,N,Unprovoked
158,2017,USA,Florida,Afternoon,N,Unprovoked
159,2017,SOUTH AFRICA,KwaZulu-Natal,,Unknown,
160,2017,USA,Florida,Afternoon,N,Unprovoked
161,2017,USA,Florida,Afternoon,N,Unprovoked
162,2017,USA,Florida,Afternoon,N,Unprovoked
163,2017,USA,Florida,,N,Unprovoked
164,2017,USA,Florida,Afternoon,N,Unprovoked
165,2017,AUSTRALIA,Queensland,Afternoon,N,Unprovoked
166,2017,USA,Florida,Afternoon,N,Unprovoked
167,2017,USA,Florida,Morning,N,Unprovoked
168,2017,AUSTRALIA,New South Wales,Evening,N,Unprovoked
169,2017,USA,California,Afternoon,N,
170,2017,PHILIPPINES,Luzon Island,,N,Unprovoked
171,2017,BAHAMAS,Great Exuma,,N,Unprovoked
172,2017,AUSTRALIA,Western Australia,Morning,N,Unprovoked
173,2017,AUSTRALIA,Western Australia,Morning,N,Unprovoked
174,2017,REUNION,Saint-Andre,Morning,Y,Unprovoked
175,2017,AUSTRALIA,Queensland,Morning,N,Unprovoked
176,2017,USA,Florida,Afternoon,N,Unprovoked
177,2017,BRAZIL,Pernambuco,Afternoon,N,Provoked
178,2017,SOUTH AFRICA,KwaZulu-Natal,,N,
